n         = 20
algorithm = LU
---------------------------------------------------------------------
        x        |     y_exact     |      y_num
 0.000000000e+00 | 0.000000000e+00 | 5.233061302e-01
 4.761904762e-02 | 3.312379567e-01 | 8.198548907e-01
 9.523809524e-02 | 5.189449217e-01 | 9.755544091e-01
 1.428571429e-01 | 6.174983064e-01 | 1.043766103e+00
 1.904761905e-01 | 6.606743763e-01 | 1.057635158e+00
 2.380952381e-01 | 6.694530953e-01 | 1.037749546e+00
 2.857142857e-01 | 6.568660664e-01 | 9.968973867e-01
 3.333333333e-01 | 6.310078066e-01 | 9.430219575e-01
 3.809523810e-01 | 5.969061860e-01 | 8.810571873e-01
 4.285714286e-01 | 5.576842418e-01 | 8.140677622e-01
 4.761904762e-01 | 5.152818333e-01 | 7.439572971e-01
 5.238095238e-01 | 4.709038949e-01 | 6.719082130e-01
 5.714285714e-01 | 4.252988656e-01 | 5.986549651e-01
 6.190476190e-01 | 3.789316348e-01 | 5.246537568e-01
 6.666666667e-01 | 3.320909662e-01 | 4.501879564e-01
 7.142857143e-01 | 2.849562239e-01 | 3.754335769e-01
 7.619047619e-01 | 2.376388193e-01 | 3.004999480e-01
 8.095238095e-01 | 1.902079548e-01 | 2.254549790e-01
 8.571428571e-01 | 1.427066153e-01 | 1.503408518e-01
 9.047619048e-01 | 9.516150049e-02 | 7.518376728e-02
