n         = 100
algorithm = general
no. ticks = 19
ticks/sec = 1000000
-----------------------------------------------------
        x        |     y_exact     |      y_num
 9.900990099e-03 | 8.436571909e-02 | 8.419796088e-02
 1.980198020e-02 | 1.598453105e-01 | 1.595170497e-01
 2.970297030e-02 | 2.272764361e-01 | 2.267942445e-01
 3.960396040e-02 | 2.874177949e-01 | 2.867876245e-01
 4.950495050e-02 | 3.409565658e-01 | 3.401838078e-01
 5.940594059e-02 | 3.885151500e-01 | 3.876046874e-01
 6.930693069e-02 | 4.306572775e-01 | 4.296135328e-01
 7.920792079e-02 | 4.678935373e-01 | 4.667205162e-01
 8.910891089e-02 | 5.006863873e-01 | 4.993877179e-01
 9.900990099e-02 | 5.294546910e-01 | 5.280336594e-01
 1.089108911e-01 | 5.545778274e-01 | 5.530374099e-01
 1.188118812e-01 | 5.763994127e-01 | 5.747423052e-01
 1.287128713e-01 | 5.952306719e-01 | 5.934593159e-01
 1.386138614e-01 | 6.113534918e-01 | 6.094700988e-01
 1.485148515e-01 | 6.250231869e-01 | 6.230297599e-01
 1.584158416e-01 | 6.364710040e-01 | 6.343693572e-01
 1.683168317e-01 | 6.459063912e-01 | 6.436981678e-01
 1.782178218e-01 | 6.535190529e-01 | 6.512057412e-01
 1.881188119e-01 | 6.594808105e-01 | 6.570637584e-01
 1.980198020e-01 | 6.639472885e-01 | 6.614277171e-01
 2.079207921e-01 | 6.670594415e-01 | 6.644384564e-01
 2.178217822e-01 | 6.689449365e-01 | 6.662235394e-01
 2.277227723e-01 | 6.697194060e-01 | 6.668985041e-01
 2.376237624e-01 | 6.694875823e-01 | 6.665679971e-01
 2.475247525e-01 | 6.683443247e-01 | 6.653268006e-01
 2.574257426e-01 | 6.663755509e-01 | 6.632607618e-01
 2.673267327e-01 | 6.636590790e-01 | 6.604476355e-01
 2.772277228e-01 | 6.602653919e-01 | 6.569578469e-01
 2.871287129e-01 | 6.562583280e-01 | 6.528551823e-01
 2.970297030e-01 | 6.516957082e-01 | 6.481974154e-01
 3.069306931e-01 | 6.466299025e-01 | 6.430368735e-01
 3.168316832e-01 | 6.411083444e-01 | 6.374209514e-01
 3.267326733e-01 | 6.351739960e-01 | 6.313925760e-01
 3.366336634e-01 | 6.288657696e-01 | 6.249906278e-01
 3.465346535e-01 | 6.222189091e-01 | 6.182503220e-01
 3.564356436e-01 | 6.152653363e-01 | 6.112035545e-01
 3.663366337e-01 | 6.080339639e-01 | 6.038792141e-01
 3.762376238e-01 | 6.005509790e-01 | 5.963034667e-01
 3.861386139e-01 | 5.928401002e-01 | 5.885000114e-01
 3.960396040e-01 | 5.849228102e-01 | 5.804903135e-01
 4.059405941e-01 | 5.768185665e-01 | 5.722938145e-01
 4.158415842e-01 | 5.685449927e-01 | 5.639281237e-01
 4.257425743e-01 | 5.601180507e-01 | 5.554091900e-01
 4.356435644e-01 | 5.515521982e-01 | 5.467514591e-01
 4.455445545e-01 | 5.428605296e-01 | 5.379680148e-01
 4.554455446e-01 | 5.340549051e-01 | 5.290707078e-01
 4.653465347e-01 | 5.251460670e-01 | 5.200702714e-01
 4.752475248e-01 | 5.161437449e-01 | 5.109764272e-01
 4.851485149e-01 | 5.070567510e-01 | 5.017979805e-01
 4.950495050e-01 | 4.978930671e-01 | 4.925429064e-01
 5.049504950e-01 | 4.886599225e-01 | 4.832184283e-01
 5.148514851e-01 | 4.793638650e-01 | 4.738310886e-01
 5.247524752e-01 | 4.700108251e-01 | 4.643868131e-01
 5.346534653e-01 | 4.606061744e-01 | 4.548909689e-01
 5.445544554e-01 | 4.511547779e-01 | 4.453484172e-01
 5.544554455e-01 | 4.416610424e-01 | 4.357635610e-01
 5.643564356e-01 | 4.321289588e-01 | 4.261403880e-01
 5.742574257e-01 | 4.225621422e-01 | 4.164825103e-01
 5.841584158e-01 | 4.129638667e-01 | 4.067931994e-01
 5.940594059e-01 | 4.033370978e-01 | 3.970754184e-01
 6.039603960e-01 | 3.936845214e-01 | 3.873318510e-01
 6.138613861e-01 | 3.840085704e-01 | 3.775649280e-01
 6.237623762e-01 | 3.743114482e-01 | 3.677768511e-01
 6.336633663e-01 | 3.645951505e-01 | 3.579696144e-01
 6.435643564e-01 | 3.548614848e-01 | 3.481450240e-01
 6.534653465e-01 | 3.451120886e-01 | 3.383047157e-01
 6.633663366e-01 | 3.353484445e-01 | 3.284501713e-01
 6.732673267e-01 | 3.255718956e-01 | 3.185827326e-01
 6.831683168e-01 | 3.157836586e-01 | 3.087036153e-01
 6.930693069e-01 | 3.059848351e-01 | 2.988139202e-01
 7.029702970e-01 | 2.961764231e-01 | 2.889146444e-01
 7.128712871e-01 | 2.863593265e-01 | 2.790066911e-01
 7.227722772e-01 | 2.765343639e-01 | 2.690908783e-01
 7.326732673e-01 | 2.667022769e-01 | 2.591679468e-01
 7.425742574e-01 | 2.568637370e-01 | 2.492385677e-01
 7.524752475e-01 | 2.470193526e-01 | 2.393033489e-01
 7.623762376e-01 | 2.371696745e-01 | 2.293628407e-01
 7.722772277e-01 | 2.273152018e-01 | 2.194175418e-01
 7.821782178e-01 | 2.174563865e-01 | 2.094679038e-01
 7.920792079e-01 | 2.075936378e-01 | 1.995143358e-01
 8.019801980e-01 | 1.977273267e-01 | 1.895572081e-01
 8.118811881e-01 | 1.878577889e-01 | 1.795968564e-01
 8.217821782e-01 | 1.779853285e-01 | 1.696335846e-01
 8.316831683e-01 | 1.681102212e-01 | 1.596676679e-01
 8.415841584e-01 | 1.582327163e-01 | 1.496993556e-01
 8.514851485e-01 | 1.483530400e-01 | 1.397288737e-01
 8.613861386e-01 | 1.384713968e-01 | 1.297564265e-01
 8.712871287e-01 | 1.285879723e-01 | 1.197821995e-01
 8.811881188e-01 | 1.187029343e-01 | 1.098063602e-01
 8.910891089e-01 | 1.088164349e-01 | 9.982906083e-02
 9.009900990e-01 | 9.892861192e-02 | 8.985043889e-02
 9.108910891e-01 | 8.903959010e-02 | 7.987061909e-02
 9.207920792e-01 | 7.914948244e-02 | 6.988971435e-02
 9.306930693e-01 | 6.925839130e-02 | 5.990782693e-02
 9.405940594e-01 | 5.936640941e-02 | 4.992504948e-02
 9.504950495e-01 | 4.947362071e-02 | 3.994146588e-02
 9.603960396e-01 | 3.958010127e-02 | 2.995715215e-02
 9.702970297e-01 | 2.968591998e-02 | 1.997217709e-02
 9.801980198e-01 | 1.979113922e-02 | 9.986603057e-03
 9.900990099e-01 | 9.895815496e-03 | 4.865085906e-07
