n         = 100
algorithm = taylored
no. ticks = 16
ticks/sec = 1000000
-----------------------------------------------------
        x        |     y_exact     |      y_num
 9.900990099e-03 | 8.436571909e-02 | 8.429683337e-02
 1.980198020e-02 | 1.598453105e-01 | 1.597147947e-01
 2.970297030e-02 | 2.272764361e-01 | 2.270908619e-01
 3.960396040e-02 | 2.874177949e-01 | 2.871831145e-01
 4.950495050e-02 | 3.409565658e-01 | 3.406781703e-01
 5.940594059e-02 | 3.885151500e-01 | 3.881979223e-01
 6.930693069e-02 | 4.306572775e-01 | 4.303056402e-01
 7.920792079e-02 | 4.678935373e-01 | 4.675114961e-01
 8.910891089e-02 | 5.006863873e-01 | 5.002775703e-01
 9.900990099e-02 | 5.294546910e-01 | 5.290223843e-01
 1.089108911e-01 | 5.545778274e-01 | 5.541250073e-01
 1.188118812e-01 | 5.763994127e-01 | 5.759287750e-01
 1.287128713e-01 | 5.952306719e-01 | 5.947446583e-01
 1.386138614e-01 | 6.113534918e-01 | 6.108543137e-01
 1.485148515e-01 | 6.250231869e-01 | 6.245128472e-01
 1.584158416e-01 | 6.364710040e-01 | 6.359513170e-01
 1.683168317e-01 | 6.459063912e-01 | 6.453790002e-01
 1.782178218e-01 | 6.535190529e-01 | 6.529854460e-01
 1.881188119e-01 | 6.594808105e-01 | 6.589423357e-01
 1.980198020e-01 | 6.639472885e-01 | 6.634051669e-01
 2.079207921e-01 | 6.670594415e-01 | 6.665147787e-01
 2.178217822e-01 | 6.689449365e-01 | 6.683987342e-01
 2.277227723e-01 | 6.697194060e-01 | 6.691725713e-01
 2.376237624e-01 | 6.694875823e-01 | 6.689409369e-01
 2.475247525e-01 | 6.683443247e-01 | 6.677986128e-01
 2.574257426e-01 | 6.663755509e-01 | 6.658314465e-01
 2.673267327e-01 | 6.636590790e-01 | 6.631171927e-01
 2.772277228e-01 | 6.602653919e-01 | 6.597262766e-01
 2.871287129e-01 | 6.562583280e-01 | 6.557224845e-01
 2.970297030e-01 | 6.516957082e-01 | 6.511635901e-01
 3.069306931e-01 | 6.466299025e-01 | 6.461019207e-01
 3.168316832e-01 | 6.411083444e-01 | 6.405848710e-01
 3.267326733e-01 | 6.351739960e-01 | 6.346553681e-01
 3.366336634e-01 | 6.288657696e-01 | 6.283522924e-01
 3.465346535e-01 | 6.222189091e-01 | 6.217108592e-01
 3.564356436e-01 | 6.152653363e-01 | 6.147629641e-01
 3.663366337e-01 | 6.080339639e-01 | 6.075374962e-01
 3.762376238e-01 | 6.005509790e-01 | 6.000606213e-01
 3.861386139e-01 | 5.928401002e-01 | 5.923560385e-01
 3.960396040e-01 | 5.849228102e-01 | 5.844452130e-01
 4.059405941e-01 | 5.768185665e-01 | 5.763475866e-01
 4.158415842e-01 | 5.685449927e-01 | 5.680807682e-01
 4.257425743e-01 | 5.601180507e-01 | 5.596607070e-01
 4.356435644e-01 | 5.515521982e-01 | 5.511018486e-01
 4.455445545e-01 | 5.428605296e-01 | 5.424172768e-01
 4.554455446e-01 | 5.340549051e-01 | 5.336188423e-01
 4.653465347e-01 | 5.251460670e-01 | 5.247172784e-01
 4.752475248e-01 | 5.161437449e-01 | 5.157223067e-01
 4.851485149e-01 | 5.070567510e-01 | 5.066427325e-01
 4.950495050e-01 | 4.978930671e-01 | 4.974865309e-01
 5.049504950e-01 | 4.886599225e-01 | 4.882609253e-01
 5.148514851e-01 | 4.793638650e-01 | 4.789724581e-01
 5.247524752e-01 | 4.700108251e-01 | 4.696270551e-01
 5.346534653e-01 | 4.606061744e-01 | 4.602300834e-01
 5.445544554e-01 | 4.511547779e-01 | 4.507864041e-01
 5.544554455e-01 | 4.416610424e-01 | 4.413004203e-01
 5.643564356e-01 | 4.321289588e-01 | 4.317761199e-01
 5.742574257e-01 | 4.225621422e-01 | 4.222171147e-01
 5.841584158e-01 | 4.129638667e-01 | 4.126266763e-01
 5.940594059e-01 | 4.033370978e-01 | 4.030077677e-01
 6.039603960e-01 | 3.936845214e-01 | 3.933630729e-01
 6.138613861e-01 | 3.840085704e-01 | 3.836950224e-01
 6.237623762e-01 | 3.743114482e-01 | 3.740058180e-01
 6.336633663e-01 | 3.645951505e-01 | 3.642974537e-01
 6.435643564e-01 | 3.548614848e-01 | 3.545717358e-01
 6.534653465e-01 | 3.451120886e-01 | 3.448303000e-01
 6.633663366e-01 | 3.353484445e-01 | 3.350746281e-01
 6.732673267e-01 | 3.255718956e-01 | 3.253060619e-01
 6.831683168e-01 | 3.157836586e-01 | 3.155258171e-01
 6.930693069e-01 | 3.059848351e-01 | 3.057349945e-01
 7.029702970e-01 | 2.961764231e-01 | 2.959345912e-01
 7.128712871e-01 | 2.863593265e-01 | 2.861255104e-01
 7.227722772e-01 | 2.765343639e-01 | 2.763085700e-01
 7.326732673e-01 | 2.667022769e-01 | 2.664845110e-01
 7.425742574e-01 | 2.568637370e-01 | 2.566540044e-01
 7.524752475e-01 | 2.470193526e-01 | 2.468176580e-01
 7.623762376e-01 | 2.371696745e-01 | 2.369760224e-01
 7.722772277e-01 | 2.273152018e-01 | 2.271295960e-01
 7.821782178e-01 | 2.174563865e-01 | 2.172788305e-01
 7.920792079e-01 | 2.075936378e-01 | 2.074241349e-01
 8.019801980e-01 | 1.977273267e-01 | 1.975658797e-01
 8.118811881e-01 | 1.878577889e-01 | 1.877044005e-01
 8.217821782e-01 | 1.779853285e-01 | 1.778400012e-01
 8.316831683e-01 | 1.681102212e-01 | 1.679729570e-01
