Numerical Analysis Of A Buckling Beam

Program parameters:
  n       = 100
  N_max   = 200000
  epsilon = 1.000000e-10

Jacobi eigenpair algorithm completed:
  Number of iterations = 16386
  Max. Abs. off-diag.  = 9.96437e-11
  time spent           = 0.970495 s

Eigenvalues:
     Exact    |     Jacobi    |    Armadillo
-3.999033e+00 | -3.999033e+00 | -3.999033e+00
-3.996131e+00 | -3.996131e+00 | -3.996131e+00
-3.991299e+00 | -3.991299e+00 | -3.991299e+00
-3.984540e+00 | -3.984540e+00 | -3.984540e+00
-3.975861e+00 | -3.975861e+00 | -3.975861e+00
-3.965270e+00 | -3.965270e+00 | -3.965270e+00
-3.952779e+00 | -3.952779e+00 | -3.952779e+00
-3.938398e+00 | -3.938398e+00 | -3.938398e+00
-3.922142e+00 | -3.922142e+00 | -3.922142e+00
-3.904026e+00 | -3.904026e+00 | -3.904026e+00
-3.884069e+00 | -3.884069e+00 | -3.884069e+00
-3.862288e+00 | -3.862288e+00 | -3.862288e+00
-3.838706e+00 | -3.838706e+00 | -3.838706e+00
-3.813345e+00 | -3.813345e+00 | -3.813345e+00
-3.786230e+00 | -3.786230e+00 | -3.786230e+00
-3.757387e+00 | -3.757387e+00 | -3.757387e+00
-3.726843e+00 | -3.726843e+00 | -3.726843e+00
-3.694629e+00 | -3.694629e+00 | -3.694629e+00
-3.660776e+00 | -3.660776e+00 | -3.660776e+00
-3.625316e+00 | -3.625316e+00 | -3.625316e+00
-3.588283e+00 | -3.588283e+00 | -3.588283e+00
-3.549714e+00 | -3.549714e+00 | -3.549714e+00
-3.509646e+00 | -3.509646e+00 | -3.509646e+00
-3.468117e+00 | -3.468117e+00 | -3.468117e+00
-3.425168e+00 | -3.425168e+00 | -3.425168e+00
-3.380840e+00 | -3.380840e+00 | -3.380840e+00
-3.335176e+00 | -3.335176e+00 | -3.335176e+00
-3.288221e+00 | -3.288221e+00 | -3.288221e+00
-3.240019e+00 | -3.240019e+00 | -3.240019e+00
-3.190618e+00 | -3.190618e+00 | -3.190618e+00
-3.140065e+00 | -3.140065e+00 | -3.140065e+00
-3.088408e+00 | -3.088408e+00 | -3.088408e+00
-3.035699e+00 | -3.035699e+00 | -3.035699e+00
-2.981988e+00 | -2.981988e+00 | -2.981988e+00
