Numerical Analysis Of A Buckling Beam

Program parameters:
  n       = 100
  N_max   = 100000
  epsilon = 1.000000e-02

Jacobi eigenpair algorithm completed:
  Number of iterations = 3310
  Max. Abs. off-diag.  = 0.00999786
  time spent           = 0.595701 s

Eigenvalues:
     Exact    |     Jacobi    |    Armadillo
-3.999033e+00 | -3.990705e+00 | -3.999033e+00
-3.996131e+00 | -3.988595e+00 | -3.996131e+00
-3.991299e+00 | -3.983978e+00 | -3.991299e+00
-3.984540e+00 | -3.980191e+00 | -3.984540e+00
-3.975861e+00 | -3.977436e+00 | -3.975861e+00
-3.965270e+00 | -3.965797e+00 | -3.965270e+00
-3.952779e+00 | -3.955378e+00 | -3.952779e+00
-3.938398e+00 | -3.930614e+00 | -3.938398e+00
-3.922142e+00 | -3.925860e+00 | -3.922142e+00
-3.904026e+00 | -3.893808e+00 | -3.904026e+00
-3.884069e+00 | -3.891336e+00 | -3.884069e+00
-3.862288e+00 | -3.866251e+00 | -3.862288e+00
-3.838706e+00 | -3.838535e+00 | -3.838706e+00
-3.813345e+00 | -3.814919e+00 | -3.813345e+00
-3.786230e+00 | -3.785043e+00 | -3.786230e+00
-3.757387e+00 | -3.757093e+00 | -3.757387e+00
-3.726843e+00 | -3.726396e+00 | -3.726843e+00
-3.694629e+00 | -3.694246e+00 | -3.694629e+00
-3.660776e+00 | -3.660967e+00 | -3.660776e+00
-3.625316e+00 | -3.623963e+00 | -3.625316e+00
-3.588283e+00 | -3.589474e+00 | -3.588283e+00
-3.549714e+00 | -3.548918e+00 | -3.549714e+00
-3.509646e+00 | -3.513805e+00 | -3.509646e+00
-3.468117e+00 | -3.468439e+00 | -3.468117e+00
-3.425168e+00 | -3.423751e+00 | -3.425168e+00
-3.380840e+00 | -3.381786e+00 | -3.380840e+00
-3.335176e+00 | -3.335104e+00 | -3.335176e+00
-3.288221e+00 | -3.288416e+00 | -3.288221e+00
-3.240019e+00 | -3.239043e+00 | -3.240019e+00
-3.190618e+00 | -3.190542e+00 | -3.190618e+00
-3.140065e+00 | -3.140044e+00 | -3.140065e+00
-3.088408e+00 | -3.088621e+00 | -3.088408e+00
