Numerical Analysis Of A Buckling Beam

Program parameters:
  n       = 10
  N_max   = 100000
  epsilon = 1.000000e-02

Jacobi eigenpair algorithm completed:
  Number of iterations = 75
  Max. Abs. off-diag.  = 0.00953517
  time spent           = 0.000267 s

Eigenvalues:
     Exact    |     Jacobi    |    Armadillo
-3.918986e+00 | -3.918668e+00 | -3.918986e+00
-3.682507e+00 | -3.682668e+00 | -3.682507e+00
-3.309721e+00 | -3.309727e+00 | -3.309721e+00
-2.830830e+00 | -2.830847e+00 | -2.830830e+00
-2.284630e+00 | -2.284632e+00 | -2.284630e+00
-1.715370e+00 | -1.715374e+00 | -1.715370e+00
-1.169170e+00 | -1.169178e+00 | -1.169170e+00
-6.902785e-01 | -6.902856e-01 | -6.902785e-01
-3.174929e-01 | -3.175490e-01 | -3.174929e-01
-8.101405e-02 | -8.107183e-02 | -8.101405e-02

Eigenvectors:

eigenvalue = -3.918668e+00:
    Jacobi    |    Armadillo
-1.297930e-01 | -1.201312e-01
+2.461937e-01 | -2.305300e-01
-3.367455e-01 | -3.222527e-01
+3.976801e-01 | -3.878684e-01
-4.231873e-01 | +4.220613e-01
+4.165935e-01 | +4.220613e-01
-3.739968e-01 | +3.878684e-01
+3.115716e-01 | +3.222527e-01
-2.198849e-01 | -2.305300e-01
+1.142711e-01 | -1.201312e-01

eigenvalue = -3.682668e+00:
    Jacobi    |    Armadillo
-2.290275e-01 | +2.305300e-01
+3.802138e-01 | +3.878684e-01
-4.120403e-01 | +4.220613e-01
+3.081847e-01 | +3.222527e-01
-1.020198e-01 | -1.201312e-01
-1.307978e-01 | +1.201312e-01
+3.335292e-01 | +3.222527e-01
-4.302813e-01 | +4.220613e-01
+3.975754e-01 | -3.878684e-01
-2.371978e-01 | -2.305300e-01

eigenvalue = -3.309727e+00:
    Jacobi    |    Armadillo
-3.224863e-01 | -3.222527e-01
+4.198181e-01 | -4.220613e-01
-2.288922e-01 | -2.305300e-01
-1.229893e-01 | +1.201312e-01
+3.917150e-01 | -3.878684e-01
-3.891491e-01 | -3.878684e-01
+1.226524e-01 | -1.201312e-01
+2.281411e-01 | +2.305300e-01
-4.216316e-01 | -4.220613e-01
+3.201477e-01 | -3.222527e-01

eigenvalue = -2.830847e+00:
    Jacobi    |    Armadillo
+3.877644e-01 | +3.878684e-01
-3.186298e-01 | +3.222527e-01
-1.234213e-01 | -1.201312e-01
+4.223481e-01 | -4.220613e-01
-2.310146e-01 | +2.305300e-01
-2.307933e-01 | -2.305300e-01
+4.248974e-01 | -4.220613e-01
-1.225429e-01 | -1.201312e-01
-3.209651e-01 | -3.222527e-01
+3.863893e-01 | -3.878684e-01

eigenvalue = -2.284632e+00:
    Jacobi    |    Armadillo
+4.217687e-01 | -4.220613e-01
-1.207935e-01 | -1.201312e-01
-3.862053e-01 | +3.878684e-01
+2.307169e-01 | +2.305300e-01
+3.219481e-01 | +3.222527e-01
-3.222611e-01 | +3.222527e-01
-2.305045e-01 | -2.305300e-01
+3.897237e-01 | -3.878684e-01
+1.191216e-01 | -1.201312e-01
-4.224046e-01 | -4.220613e-01

eigenvalue = -1.715374e+00:
    Jacobi    |    Armadillo
-4.221856e-01 | +4.220613e-01
-1.202746e-01 | -1.201312e-01
+3.884899e-01 | -3.878684e-01
+2.295017e-01 | +2.305300e-01
-3.236728e-01 | -3.222527e-01
-3.232648e-01 | +3.222527e-01
+2.317637e-01 | +2.305300e-01
+3.866602e-01 | -3.878684e-01
-1.197395e-01 | +1.201312e-01
-4.205659e-01 | -4.220613e-01

eigenvalue = -1.169178e+00:
    Jacobi    |    Armadillo
-3.874514e-01 | -3.878684e-01
-3.235357e-01 | +3.222527e-01
+1.184255e-01 | +1.201312e-01
+4.223209e-01 | -4.220613e-01
+2.285110e-01 | -2.305300e-01
-2.318227e-01 | -2.305300e-01
-4.225993e-01 | +4.220613e-01
-1.203905e-01 | -1.201312e-01
+3.202058e-01 | +3.222527e-01
+3.889109e-01 | -3.878684e-01

eigenvalue = -6.902856e-01:
    Jacobi    |    Armadillo
+3.233233e-01 | +3.222527e-01
+4.280353e-01 | -4.220613e-01
+2.319787e-01 | +2.305300e-01
-1.172128e-01 | +1.201312e-01
-3.860581e-01 | +3.878684e-01
-3.906637e-01 | -3.878684e-01
-1.230576e-01 | +1.201312e-01
+2.246113e-01 | +2.305300e-01
+4.180754e-01 | +4.220613e-01
+3.203987e-01 | -3.222527e-01

eigenvalue = -3.175490e-01:
    Jacobi    |    Armadillo
+2.263342e-01 | -2.305300e-01
+3.845667e-01 | +3.878684e-01
+4.189659e-01 | -4.220613e-01
+3.249598e-01 | +3.222527e-01
+1.233295e-01 | +1.201312e-01
-1.159393e-01 | +1.201312e-01
-3.206960e-01 | -3.222527e-01
-4.244262e-01 | +4.220613e-01
-3.915485e-01 | +3.878684e-01
-2.341029e-01 | -2.305300e-01

eigenvalue = -8.107183e-02:
    Jacobi    |    Armadillo
+1.197007e-01 | +1.201312e-01
+2.285077e-01 | -2.305300e-01
+3.251935e-01 | +3.222527e-01
+3.870071e-01 | -3.878684e-01
+4.228630e-01 | -4.220613e-01
+4.201013e-01 | +4.220613e-01
+3.871398e-01 | -3.878684e-01
+3.228678e-01 | +3.222527e-01
+2.315946e-01 | +2.305300e-01
+1.219654e-01 | -1.201312e-01
